mode: set
github.com/dsa/arrays/arrays.go:8.68,11.31 2 1
github.com/dsa/arrays/arrays.go:15.2,15.31 1 1
github.com/dsa/arrays/arrays.go:20.2,20.49 1 1
github.com/dsa/arrays/arrays.go:11.31,13.3 1 0
github.com/dsa/arrays/arrays.go:15.31,16.38 1 1
github.com/dsa/arrays/arrays.go:16.38,18.4 1 1
github.com/dsa/arrays/arrays.go:23.39,24.32 1 1
github.com/dsa/arrays/arrays.go:37.2,37.12 1 1
github.com/dsa/arrays/arrays.go:24.32,26.37 2 1
github.com/dsa/arrays/arrays.go:31.3,31.20 1 1
github.com/dsa/arrays/arrays.go:35.3,35.19 1 1
github.com/dsa/arrays/arrays.go:26.37,27.30 1 1
github.com/dsa/arrays/arrays.go:27.30,29.5 1 1
github.com/dsa/arrays/arrays.go:31.20,34.4 1 1
github.com/dsa/arrays/arrays.go:40.36,41.32 1 1
github.com/dsa/arrays/arrays.go:54.2,54.12 1 1
github.com/dsa/arrays/arrays.go:41.32,43.39 2 1
github.com/dsa/arrays/arrays.go:49.3,49.15 1 1
github.com/dsa/arrays/arrays.go:52.3,52.19 1 1
github.com/dsa/arrays/arrays.go:43.39,44.25 1 1
github.com/dsa/arrays/arrays.go:44.25,47.5 2 1
github.com/dsa/arrays/arrays.go:49.15,50.9 1 1
